MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,Price
6.0377,9.6,3.6231,0.9567,309.0,5.2607,38.6519,-120.1448,2.7099
4.1249,10.7,4.4072,1.1621,31.0,3.2802,35.0096,-122.6342,2.6459
6.6102,24.5,4.9355,1.414,106.0,4.1483,34.5175,-116.5069,3.3576
11.1766,15.6,7.6015,1.2701,168.0,4.0487,33.7436,-116.4989,5.4265
3.8943,13.6,3.1741,0.8738,1208.0,1.237,34.7985,-114.0432,1.8857
3.8943,33.9,4.7852,0.9865,803.0,2.9903,33.9994,-116.3002,2.2704
11.5597,34.2,7.406,1.8619,232.0,2.705,38.362,-122.9747,5.2229
7.1026,43.1,4.9002,1.4929,837.0,1.9094,38.1884,-121.1133,3.1319
3.3815,22.3,6.4208,1.8693,980.0,3.6105,38.0686,-119.7569,1.5929
6.2061,4.7,5.2209,0.9073,344.0,5.9692,38.598,-123.1701,2.9955
3.3938,15.0,6.0136,1.6131,101.0,1.0313,40.2405,-116.2256,1.8106
3.3891,51.0,5.0431,1.7339,328.0,2.4259,41.1788,-118.9697,1.1091
5.1819,31.4,6.8341,1.2394,366.0,1.8252,34.6886,-114.5833,2.8777
1.422,37.2,2.4099,0.7726,118.0,3.0917,38.0839,-118.3123,0.4753
1.5921,1.4,4.7734,1.3867,582.0,2.6373,33.2442,-119.0096,0.9476
3.1983,27.4,6.0931,1.8572,534.0,2.3578,33.6414,-123.75,1.6243
2.4407,2.9,6.5674,1.3555,630.0,3.9583,38.7162,-122.9319,0.96
5.4116,30.0,8.4859,1.7615,533.0,5.7804,37.1225,-115.58,2.0898
2.5992,48.0,4.718,1.5626,837.0,8.7105,39.7042,-114.0979,1.0312
1.9206,50.4,8.459,1.8776,337.0,2.2348,36.5439,-120.1406,1.0201
10.7983,28.6,4.182,0.68,494.0,1.4501,33.7122,-115.9941,5.5
3.9139,24.4,8.1573,2.2034,271.0,3.7572,40.7845,-117.9103,1.5705
4.667,49.2,7.1349,1.2484,225.0,5.7213,33.2874,-114.4299,2.3865
1.9063,35.4,3.6731,1.1362,1538.0,4.1598,34.2952,-121.9996,0.2
3.2329,4.3,6.1141,1.7018,52.0,5.7118,35.1313,-118.7792,0.8388
4.7901,24.8,5.3975,1.7539,969.0,2.7451,41.9552,-120.2076,1.9169
2.2466,13.3,6.7512,2.0724,217.0,2.3541,36.4602,-118.812,1.7375
5.6149,25.0,5.0535,0.8713,191.0,3.1461,37.2662,-121.677,2.9909
3.1256,24.2,4.8855,1.1052,524.0,2.6321,39.8121,-119.2737,1.0156
3.7621,30.7,8.2382,2.5119,91.0,3.9167,38.5459,-117.9396,1.8079
3.1236,19.2,5.3026,1.238,178.0,4.4278,40.4935,-123.6472,0.9129
13.6177,9.4,7.1528,2.464,173.0,4.5687,37.1211,-116.6986,5.5
4.4455,26.7,5.0493,1.5004,323.0,3.6849,41.7357,-117.0815,1.8756
2.3759,43.3,8.8333,1.3524,181.0,3.3146,40.0697,-115.2552,1.2638
7.3414,34.9,4.1433,1.3507,2000.0,4.1279,36.313,-120.0285,2.7059
2.1544,18.3,4.2717,0.7269,2433.0,1.37,36.1221,-123.8525,0.5091
5.08,48.7,8.549,1.5226,53.0,3.2682,41.3302,-119.6547,2.2378
1.3829,47.5,4.6101,1.3687,695.0,3.0679,39.0019,-123.0551,0.2
2.02,11.7,8.7021,2.8107,952.0,3.2714,38.4036,-117.7018,0.4839
5.0436,3.0,7.2837,1.8739,694.0,2.9007,39.6994,-124.0051,2.3921
6.9802,38.8,5.1907,1.0787,209.0,3.5706,37.8279,-120.573,2.9347
4.967,43.2,1.8734,0.5,316.0,2.3873,34.0121,-123.6301,3.0271
4.1813,50.4,5.4614,1.1937,191.0,4.72,35.5325,-124.4647,1.6376
3.7409,46.4,5.7033,1.2281,265.0,3.6308,37.8005,-114.4141,1.5031
1.8458,31.6,7.8344,1.5558,120.0,3.1908,32.6726,-114.0407,1.1636
2.9098,28.0,8.6769,2.3581,360.0,2.2728,36.6548,-118.6672,1.04
3.3995,2.4,4.13,1.3632,90.0,4.1625,39.6801,-121.991,1.4402
8.4509,13.6,7.1024,1.5016,330.0,3.2631,34.0602,-114.9335,4.3834
5.5078,24.4,7.0308,1.3171,116.0,2.2207,33.1133,-114.8081,2.8598
1.5561,33.1,7.6468,2.4295,496.0,2.9368,40.4423,-115.5277,0.5639
5.4437,29.4,6.4974,1.9385,205.0,3.8637,38.3641,-118.7841,2.5638
3.5571,38.9,1.615,0.5429,539.0,3.7458,34.1775,-123.7156,1.903
2.9857,15.3,5.1892,0.9502,1190.0,3.6503,40.1599,-123.5714,1.7919
6.4689,29.8,3.1886,0.5703,1977.0,3.1174,38.7522,-115.0855,2.3959
